seed | deals b/a | D1 b/a | D5 b/a | pay_wit b/a | TR/CR holders b/a | mei standing_nonzero b/a | sum_x1000 b/a
   1 | 157/154 |  84/ 71 |  71/ 59 | 0/60 | 0/0 | 2/6 | 5000/3500
   2 | 165/158 |  76/ 77 |  61/ 57 | 0/61 | 0/0 | 3/5 | 4000/2500
   3 | 173/153 |  70/ 62 |  55/ 49 | 0/52 | 0/0 | 2/8 | 4000/2500
   4 | 148/146 |  63/ 74 |  50/ 54 | 0/55 | 0/0 | 5/7 | -11000/-6000
   5 | 180/145 |  71/ 75 |  61/ 57 | 0/59 | 0/0 | 1/7 | 3000/3500
   6 | 135/133 |  63/ 74 |  51/ 55 | 0/55 | 0/0 | 5/8 | -3000/2500
   7 | 168/144 |  81/ 76 |  67/ 59 | 0/62 | 0/0 | 1/8 | 3000/6000
   8 | 154/129 |  65/ 61 |  54/ 44 | 0/46 | 0/0 | 3/5 | 0/3500
   9 | 147/165 |  66/ 83 |  55/ 69 | 0/76 | 0/0 | 4/7 | -1000/1500
  10 | 169/145 |  71/ 74 |  55/ 63 | 0/63 | 0/0 | 3/7 | 3000/4000
  11 | 169/151 |  75/ 83 |  59/ 62 | 0/63 | 0/0 | 1/5 | 2000/1500
  12 | 144/155 |  58/ 66 |  47/ 53 | 0/55 | 0/0 | 7/7 | -5000/-4500
