gated_n 在整张网格上的分布： {6: 672}
话本 demand 的全网格最小值： 21

arm    N    n      模型(6货)     模型(4货)     实测 P(上限臂)
neu    12   24     0.0033     0.0033     0/24 = 0.000
neu    16   24     0.0065     0.0065     1/24 = 0.042
neu    20   24     0.0044     0.0044     0/24 = 0.000
neu    24   24     0.0000     0.0000     0/24 = 0.000
neu    32   24     0.0000     0.0000     0/24 = 0.000
neu    40   24     0.0017     0.0017     0/24 = 0.000
neu    48   24     0.0000     0.0000     0/24 = 0.000
neu    60   24     0.0000     0.0000     0/24 = 0.000
noscale 16   12     0.0000     0.0000     0/12 = 0.000
noscale 24   12     0.0000     0.0000     0/12 = 0.000
off    12   24     0.0033     0.0033     0/24 = 0.000
off    16   24     0.0180     0.0088     0/24 = 0.000
off    20   24     0.0752     0.0752     2/24 = 0.083
off    24   24     0.0998     0.0694     1/24 = 0.042
off    32   24     0.1195     0.0832     2/24 = 0.083
off    40   24     0.2005     0.1354     5/24 = 0.208
off    48   24     0.3730     0.2674     6/24 = 0.250
off    60   24     0.5069     0.3889     13/24 = 0.542
ship   12   24     0.0109     0.0109     0/24 = 0.000
ship   16   60     0.0437     0.0437     0/60 = 0.000
ship   20   24     0.0084     0.0043     0/24 = 0.000
ship   24   60     0.0156     0.0125     1/60 = 0.017
ship   32   24     0.0208     0.0208     0/24 = 0.000
ship   40   24     0.0069     0.0069     0/24 = 0.000
ship   48   24     0.0000     0.0000     0/24 = 0.000
ship   60   24     0.0000     0.0000     0/24 = 0.000
