=== n_sweep: 144 Æ¬´ıÅÜ£¨576 ¾Ö£¬18144 agent-¾Ö£©¡¤ jobs=10 ===
[  1/144] rc=0    62s N=12 seeds=1-4 -> ship_n12_s1-4.jsonl
[  2/144] rc=0    62s N=12 seeds=5-8 -> ship_n12_s5-8.jsonl
[  3/144] rc=0    61s N=12 seeds=9-12 -> ship_n12_s9-12.jsonl
[  4/144] rc=0    62s N=12 seeds=13-16 -> ship_n12_s13-16.jsonl
[  5/144] rc=0    62s N=12 seeds=17-20 -> ship_n12_s17-20.jsonl
[  6/144] rc=0    62s N=12 seeds=21-24 -> ship_n12_s21-24.jsonl
[  7/144] rc=0    87s N=16 seeds=1-4 -> ship_n16_s1-4.jsonl
[  8/144] rc=0    87s N=16 seeds=5-8 -> ship_n16_s5-8.jsonl
[  9/144] rc=0    87s N=16 seeds=9-12 -> ship_n16_s9-12.jsonl
[ 10/144] rc=0    87s N=16 seeds=13-16 -> ship_n16_s13-16.jsonl
[ 11/144] rc=0    97s N=16 seeds=17-20 -> ship_n16_s17-20.jsonl
[ 12/144] rc=0    97s N=16 seeds=21-24 -> ship_n16_s21-24.jsonl
[ 13/144] rc=0   131s N=20 seeds=1-4 -> ship_n20_s1-4.jsonl
[ 14/144] rc=0   129s N=20 seeds=5-8 -> ship_n20_s5-8.jsonl
[ 15/144] rc=0   131s N=20 seeds=9-12 -> ship_n20_s9-12.jsonl
[ 16/144] rc=0   129s N=20 seeds=13-16 -> ship_n20_s13-16.jsonl
[ 17/144] rc=0   131s N=20 seeds=17-20 -> ship_n20_s17-20.jsonl
[ 18/144] rc=0   129s N=20 seeds=21-24 -> ship_n20_s21-24.jsonl
[ 19/144] rc=0   169s N=24 seeds=1-4 -> ship_n24_s1-4.jsonl
[ 20/144] rc=0   170s N=24 seeds=5-8 -> ship_n24_s5-8.jsonl
[ 21/144] rc=0   174s N=24 seeds=9-12 -> ship_n24_s9-12.jsonl
[ 22/144] rc=0   175s N=24 seeds=13-16 -> ship_n24_s13-16.jsonl
[ 23/144] rc=0   171s N=24 seeds=17-20 -> ship_n24_s17-20.jsonl
[ 24/144] rc=0   174s N=24 seeds=21-24 -> ship_n24_s21-24.jsonl
[ 25/144] rc=0   266s N=32 seeds=1-4 -> ship_n32_s1-4.jsonl
[ 26/144] rc=0   267s N=32 seeds=5-8 -> ship_n32_s5-8.jsonl
[ 27/144] rc=0   272s N=32 seeds=9-12 -> ship_n32_s9-12.jsonl
[ 28/144] rc=0   261s N=32 seeds=13-16 -> ship_n32_s13-16.jsonl
[ 29/144] rc=0   272s N=32 seeds=17-20 -> ship_n32_s17-20.jsonl
[ 30/144] rc=0   273s N=32 seeds=21-24 -> ship_n32_s21-24.jsonl
[ 31/144] rc=0   389s N=40 seeds=1-4 -> ship_n40_s1-4.jsonl
[ 32/144] rc=0   386s N=40 seeds=5-8 -> ship_n40_s5-8.jsonl
[ 33/144] rc=0   396s N=40 seeds=9-12 -> ship_n40_s9-12.jsonl
[ 34/144] rc=0   389s N=40 seeds=13-16 -> ship_n40_s13-16.jsonl
[ 35/144] rc=0   409s N=40 seeds=17-20 -> ship_n40_s17-20.jsonl
[ 36/144] rc=0   404s N=40 seeds=21-24 -> ship_n40_s21-24.jsonl
[ 37/144] rc=0   562s N=48 seeds=1-4 -> ship_n48_s1-4.jsonl
[ 38/144] rc=0   583s N=48 seeds=5-8 -> ship_n48_s5-8.jsonl
[ 39/144] rc=0   592s N=48 seeds=9-12 -> ship_n48_s9-12.jsonl
[ 40/144] rc=0   583s N=48 seeds=13-16 -> ship_n48_s13-16.jsonl
[ 41/144] rc=0   597s N=48 seeds=17-20 -> ship_n48_s17-20.jsonl
[ 42/144] rc=0   594s N=48 seeds=21-24 -> ship_n48_s21-24.jsonl
[ 43/144] rc=0   917s N=60 seeds=1-4 -> ship_n60_s1-4.jsonl
[ 44/144] rc=0   927s N=60 seeds=5-8 -> ship_n60_s5-8.jsonl
[ 45/144] rc=0   915s N=60 seeds=9-12 -> ship_n60_s9-12.jsonl
[ 46/144] rc=0   925s N=60 seeds=13-16 -> ship_n60_s13-16.jsonl
[ 47/144] rc=0   937s N=60 seeds=17-20 -> ship_n60_s17-20.jsonl
[ 48/144] rc=0   940s N=60 seeds=21-24 -> ship_n60_s21-24.jsonl
[ 49/144] rc=0    79s N=12 seeds=1-4 -> neu_n12_s1-4.jsonl
[ 50/144] rc=0    79s N=12 seeds=5-8 -> neu_n12_s5-8.jsonl
[ 51/144] rc=0    74s N=12 seeds=9-12 -> neu_n12_s9-12.jsonl
[ 52/144] rc=0    76s N=12 seeds=13-16 -> neu_n12_s13-16.jsonl
[ 53/144] rc=0    79s N=12 seeds=17-20 -> neu_n12_s17-20.jsonl
[ 54/144] rc=0    81s N=12 seeds=21-24 -> neu_n12_s21-24.jsonl
[ 55/144] rc=0   110s N=16 seeds=1-4 -> neu_n16_s1-4.jsonl
[ 56/144] rc=0   110s N=16 seeds=5-8 -> neu_n16_s5-8.jsonl
