Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

=== DetGate · 场景确定性门  tracks=["", "faction", "betray", "freerider"] seeds=1-4 days=20 ===
  金标：res://bench/golden_digests.json（烘于 godot 4.6.2-stable (official).71f334935）
  [(default)] seed=1 事件=1123  硬=✅ 确定=✅ 金标=✅
  [(default)] seed=2 事件=1069  硬=✅ 确定=✅ 金标=✅
  [(default)] seed=3 事件=1069  硬=✅ 确定=✅ 金标=✅
  [(default)] seed=4 事件=1140  硬=✅ 确定=✅ 金标=✅
  [faction] seed=1 事件=1140  硬=✅ 确定=✅ 金标=✅
  [faction] seed=2 事件=1007  硬=✅ 确定=✅ 金标=✅
  [faction] seed=3 事件=1053  硬=✅ 确定=✅ 金标=✅
  [faction] seed=4 事件=1040  硬=✅ 确定=✅ 金标=✅
  [betray] seed=1 事件=1140  硬=✅ 确定=✅ 金标=❌ 期望 2895846081/326780007998127894/1117411208 实得 4067550143/979380727193785299/1133450791
  [betray] seed=2 事件=1076  硬=✅ 确定=✅ 金标=✅
  [betray] seed=3 事件=1016  硬=✅ 确定=✅ 金标=✅
  [betray] seed=4 事件=1130  硬=✅ 确定=✅ 金标=✅
  [freerider] seed=1 事件=1149  硬=✅ 确定=✅ 金标=✅
  [freerider] seed=2 事件=1109  硬=✅ 确定=✅ 金标=✅
  [freerider] seed=3 事件=1036  硬=✅ 确定=✅ 金标=✅
  [freerider] seed=4 事件=1008  硬=✅ 确定=✅ 金标=✅

=== DetGate: FAIL ❌  (硬不变量 16/16, 同seed两跑一致 16/16, 数据指纹一致 16/16[1400432579], 金标 15/16 可比) ===
